ENSG00000167595	9606.ENSP00000380116	PROSER3
ENSG00000213920	9606.ENSP00000288087	MDP1
ENSG00000100201	9606.ENSP00000380033	DDX17
ENSG00000152620	9606.ENSP00000371362	NADK2
ENSG00000082438	9606.ENSP00000341360	COBLL1
ENSG00000261609	9606.ENSP00000476795	GAN
ENSG00000050748	9606.ENSP00000394560	MAPK9
ENSG00000102317	9606.ENSP00000365950	RBM3
ENSG00000099290	WASHC2A
ENSG00000099940	9606.ENSP00000215730	SNAP29
ENSG00000169756	9606.ENSP00000446121	LIMS1
ENSG00000100417	9606.ENSP00000216259	PMM1
ENSG00000083635	9606.ENSP00000368459	NUFIP1
ENSG00000145685	9606.ENSP00000369702	LHFPL2
ENSG00000064687	9606.ENSP00000263094	ABCA7
ENSG00000131037	9606.ENSP00000201647	EPS8L1
ENSG00000135454	9606.ENSP00000341562	B4GALNT1
ENSG00000111319	9606.ENSP00000353292	SCNN1A
ENSG00000166922	9606.ENSP00000300175	SCG5
ENSG00000205084	9606.ENSP00000258173	TMEM231
ENSG00000108799	9606.ENSP00000404658	EZH1
ENSG00000006576	9606.ENSP00000403042	PHTF2
ENSG00000064703	9606.ENSP00000358716	DDX20
ENSG00000101639	9606.ENSP00000427550	CEP192
ENSG00000164292	9606.ENSP00000369318	RHOBTB3
ENSG00000089094	9606.ENSP00000366271	KDM2B
ENSG00000183172	9606.ENSP00000327467	SMDT1
ENSG00000017483	9606.ENSP00000471683	SLC38A5
ENSG00000118181	9606.ENSP00000435096	RPS25
ENSG00000151689	9606.ENSP00000376142	INPP1
ENSG00000108443	9606.ENSP00000225577	RPS6KB1
ENSG00000171877	9606.ENSP00000403067	FRMD5
ENSG00000099377	9606.ENSP00000297679	HSD3B7
ENSG00000116984	9606.ENSP00000355536	MTR
ENSG00000135913	9606.ENSP00000258399	USP37
ENSG00000173894	9606.ENSP00000308750	CBX2
ENSG00000182810	9606.ENSP00000332340	DDX28
ENSG00000173141	9606.ENSP00000310726	MRPL57
ENSG00000105011	9606.ENSP00000263382	ASF1B
ENSG00000198835	9606.ENSP00000355675	GJC2
ENSG00000166224	9606.ENSP00000362298	SGPL1
ENSG00000149968	9606.ENSP00000299855	MMP3
ENSG00000136603	9606.ENSP00000415243	SKIL
ENSG00000096060	9606.ENSP00000444810	FKBP5
ENSG00000185818	9606.ENSP00000413064	NAT8L
ENSG00000042753	9606.ENSP00000263270	AP2S1
ENSG00000165304	9606.ENSP00000298048	MELK
ENSG00000163611	9606.ENSP00000295872	SPICE1
ENSG00000122644	9606.ENSP00000379898	ARL4A
ENSG00000054690	9606.ENSP00000330278	PLEKHH1
ENSG00000104976	9606.ENSP00000221573	SNAPC2
ENSG00000154655	9606.ENSP00000382976	L3MBTL4
ENSG00000153485	9606.ENSP00000388431	TMEM251
ENSG00000124155	9606.ENSP00000279036	PIGT
ENSG00000111816	9606.ENSP00000476145	FRK
ENSG00000148908	9606.ENSP00000358099	RGS10
ENSG00000163684	9606.ENSP00000412894	RPP14
ENSG00000146409	9606.ENSP00000275227	SLC18B1
ENSG00000147010	9606.ENSP00000380921	SH3KBP1
ENSG00000142751	9606.ENSP00000363250	GPN2
ENSG00000132661	9606.ENSP00000254998	NXT1
ENSG00000205707	ETFRF1
ENSG00000197713	9606.ENSP00000352401	RPE
ENSG00000100373	9606.ENSP00000216211	UPK3A
ENSG00000117425	9606.ENSP00000361266	PTCH2
ENSG00000175592	9606.ENSP00000310170	FOSL1
